item,item_clean_cat
gin 4cl,alcool
gin,alcool
gin bio tessendier,alcool
rhum 4cl,alcool
shooter 3cl,alcool
téquila jose cuervo 4cl,alcool
vodka 4cl,alcool
whisky 4cl,alcool
balvenie,alcool
belvedere,alcool
botran,alcool
bulleit bourbon,alcool
caol ila,alcool
citadelle,alcool
cointreau,alcool
don papa,alcool
double,alcool
éminente,alcool
équinoxe,alcool
fjorowka,alcool
hendrick’s,alcool
hibiki,alcool
hse,alcool
jose cuervo,alcool
monkey shoulder,alcool
patron,alcool
téquila,alcool
vodka,alcool
vodka bio tessendier,alcool
whisky,alcool
whisky coca,alcool
woodford,alcool
premium,alcool
rhône bio,alcool
rhum,alcool
sailor jerry,alcool
jam saint nicolas,alcool
saint nicolas de b,alcool
shooter,alcool
nikka,alcool
campari 6cl,aperitif
martini blanc 6cl,aperitif
martini rouge 6cl,aperitif
pastis (henri bardouin) 3cl,aperitif
porto 6cl,aperitif
st germain 6cl,aperitif
campari,aperitif
kir,aperitif
kir royal,aperitif
martini blanc,aperitif
martini rouge,aperitif
pastis,aperitif
pastis (henri bardouin),aperitif
porto,aperitif
saint germain,aperitif
st germain,aperitif
montant personnalisé,autre
rec 1 concert,autre
rec 2 concert,autre
supplément,autre
supplément sirop,autre
captation + 3 cam,autre
carte de fidélité,autre
cd,autre
jam vocale,autre
25cl ipa,beer
25cl pils,beer
25cl west ipa,beer
33cl bière de garde,beer
33cl blanche,beer
33cl blonde,beer
33cl ipa,beer
33cl neipa,beer
50cl ipa,beer
50cl pils,beer
50cl west ipa,beer
50 ipa,beer
demory garde,beer
demory garde jam,beer
démory ipa,beer
demory ipa jam,beer
demory neipa,beer
demory neipa jam,beer
demory prodigieuse,beer
demory saison,beer
demory saison jam,beer
ipa,beer
jam blanche,beer
jam blonde,beer
jam pinte,beer
ipa 25cl,beer
ipa 50cl,beer
ipa 50cl jam,beer
pinte,beer
jam 33cl bière de garde,beer
jam 33cl blanche,beer
jam 33cl blonde,beer
jam 33cl ipa,beer
jam 33cl neipa,beer
jam 50cl,beer
jam 50cl ipa,beer
jam 50cl pils,beer
pils 25cl,beer
pils 50cl,beer
pils 50cl jam,beer
cidre,beer
cidre le sauvageon,beer
cidre les fils de pomme,beer
cidre sassy,beer
citra lager,beer
demory blanche,beer
jam ipa,beer
blanche,beer
blonde,beer
le bonbon,beer
le sauvageon cidre,beer
ma zoot,beer
promo blanche,beer
promo blonde,beer
promo ipa,beer
allongé,boisson chaude
café,boisson chaude
cappucino,boisson chaude
latte,boisson chaude
chocolat chaud,boisson chaude
espresso,boisson chaude
espresso - allongé - americano,boisson chaude
irish coffee,boisson chaude
champagne,champagne
champagne moet,champagne
moet et chandon,champagne
promo champagne,champagne
scooter sup,cocktail classique
classic,cocktail classique
cocktail,cocktail classique
jam cocktail,cocktail classique
cocktail saison,cocktail classique
caipi,cocktail classique
cocktails,cocktail classique
cuba libre,cocktail classique
espresso martini,cocktail classique
fr. gimlet,cocktail classique
gin tonic,cocktail classique
laphroaig sour,cocktail classique
long drink,cocktail classique
poco loco,cocktail classique
porn star,cocktail classique
ti pinch,cocktail classique
ti punch,cocktail classique
vodka soda,cocktail classique
russian « ass »,cocktail classique
cherokee,cocktail elabore - cherokee
i’m old fasioned,cocktail elabore - i’m old fasioned
old fashioned,cocktail elabore - i’m old fasioned
joy spring,cocktail elabore - joy spring
la vie en rose,cocktail elabore - la vie en rose
mona lisa,cocktail elabore - mona lisa
ruby my dear,cocktail elabore - ruby my dear
full sentimental 2 cocktails,cocktail elabore - sentimental mood
sentimental mood,cocktail elabore - sentimental mood
take five,cocktail elabore - take five
tenderly,cocktail elabore - tenderly
tico tico,cocktail elabore - tico tico
cognac,digestif
cognac xo,digestif
dessins,digestif
amaretto,digestif
armagnac,digestif
bailey’s,digestif
bailey's,digestif
calvados,digestif
amaretto 6cl,digestif
armagnac 4cl,digestif
bailey's 6cl,digestif
calvados 4cl,digestif
cognac 4cl,digestif
cointreau 4cl,digestif
get 27 6cl,digestif
grand marnier 4cl,digestif
get 27,digestif
grand marnier,digestif
entrée jam,entrée
places jam,entrée
entrée musiciens,entrée musiciens
jamaïcain mule,mule
jamaican mule,mule
les mules,mule
london mule,mule
marseille mule,mule
mexicain mule,mule
moscow mule,mule
vodka mule,mule
sandwich,snack
chocolats,snack
le dessert,snack
madeleine,snack
planche mixte,snack
chips,snack
chips cheddar,snack
chips sea salt,snack
cake sucré,snack
sucettes,snack
punch,soft
punch lorrain,soft
promo softs,soft
jam jus,soft
jus de fruits,soft
super tom limonade,soft
maison perrier jam,soft
mangue jam,soft
pamplemousse,soft
pamplemousse jam,soft
perrier,soft
abricot,soft
abricot jam,soft
cranberry,soft
cranberry jam,soft
eau,soft
s. pellegrino,soft
s.pellegrino,soft
san pellegrino jam,soft
fraise,soft
fraise jam,soft
fuze tea,soft
fuze tea jam,soft
goyave,soft
goyave jam,soft
ice tea,soft
jam ice-tea,soft
coca,soft
coca jam,soft
coca 0,soft
coca 0 jam,soft
coca zero,soft
coca-cola,soft
jam coca-cola,soft
ginger jam,soft
ginger beer,soft
jam gingerbeer,soft
orangina,soft
jam schweppes,soft
schweppes,soft
schwepps jam,soft
schwepps lime,soft
schwepps tonic,soft
jam softs,soft
softs,soft
thé,soft
thé noir,soft
thé vert,soft
tonic jam,soft
t-shirt public 38riv,t-shirts
t-shirts musiciens 38riv,t-shirts
monge,vin
ptit chablis,vin
ptit chablis btlle,vin
rosé,vin
saucisson,vin
jam sauvignon,vin
sauvignon,vin
sauvignon jam,vin
l’envol pinot noir,vin
l’envol sauvignon,vin
l’envole sauvignon,vin
lort,vin
lort btlle,vin
jam malbec,vin
malbec,vin
mangue,vin
médoc le monge,vin
petit chablis,vin
pinot noir,vin
pinot noir jam,vin
jam touraine,vin
touraine,vin
cote du rhône,vin
côte du rhône jam,vin
gamay,vin
gascognerouge,vin
aligoté,vin
jam bordeau,vin
bordeaux,vin
bourgogne aligoté,vin
c.d. gascogne,vin
jam chablis,vin
chardonay,vin
chardonnay,vin
chardonnay jam,vin
jam chardonnay,vin
château le monge,vin
jam château le monge,vin
château lort,vin
cellier du clocher,vin
cellier du clocher jam,vin
celliers du clocher,vin
cœur de pinot,vin
c.d. rhône,vin
c.d. rhône bio,vin
jam c.d.gascogne,vin
jam c.d.rhône,vin
bouteille,vin
sannes 1603,vin
sannes 1603 btlle rosé,vin
rosé 1603,vin
promo vin,vin
jam vin,vin
virgin basil,virgin basil
virgin cocktail,virgin cocktail
virgin hugo,virgin hugo
virgin passion,virgin passion
virgin ruby,virgin ruby
virgin spritz,virgin spritz
